,Question,GT Answer,GT Topic,2014 Predicted,2014 Topic,2016 Bleu Score,2016 Predicted,2016 Topic,2018 Bleu Score,2018 Predicted,2018 Topic,2020 Bleu Score,2020 Predicted,2020 Topic,max - min
6421,Whose needs will the growth in pharmacy informatics meet?,"['major national and international patient information projects and health system interoperability goals', 'major national and international patient information projects']",Pharmacy,,None,-1.0,None,None,-1.0,None,None,-1.0,None,None,0.0
6422,What areas are pharmacy informatics prepared to work in?,"['medication management system development, deployment and optimization']",Pharmacy,hospital pharmacy and community pharmacy,{'hospital pharmacy and community pharmacy': 'Pharmacy technician'},100.0,hospital pharmacy and community pharmacy,Pharmacy technician,14.285714285714285,"industry, wholesaling, research, academia, military, and government",Pharmacist,100.0,hospital pharmacy and community pharmacy,Pharmacy technician,85.71428571428572
6423,How fast is pharmacy informatics growing?,"['quickly', 'growing quickly']",Pharmacy,,None,-1.0,None,None,-1.0,None,None,-1.0,None,None,0.0
6424,What is the fastest growing area in the pharmaceutical industry?,['specialty pharmacies'],Pharmacy,Synthetic drug manufacturing,{'Synthetic drug manufacturing': 'Pharmaceutical industry in China'},0.0,China,Pharmaceutical industry in China,100.0,Synthetic drug manufacturing,Pharmaceutical industry in China,100.0,Synthetic drug manufacturing,Pharmaceutical industry in China,100.0
6425,How many drugs approved by the FDA in 2013 were specialty drugs?,"['19', '19 of 28 newly FDA approved medications']",Pharmacy,,None,-1.0,None,None,-1.0,None,None,0.0,"1,452",Approved drug,1.0
6426,What types of diseases are specialty drugs often used against?,"['cancer, hepatitis, and rheumatoid arthritis', 'chronic and complex disease states', 'chronic and complex disease states such as cancer, hepatitis, and rheumatoid arthritis']",Pharmacy,parasitic diseases,{'parasitic diseases': 'Antiparasitic'},-1.0,None,None,0.0,infectious,Antimicrobial chemotherapy,100.0,infectious,Antimicrobial chemotherapy,101.0
6427,What types of medications do specialty pharmacies stock?,"['novel medications that need to be properly stored, administered, carefully monitored, and clinically managed', 'novel medications']",Pharmacy,,None,0.0,temperature-controlled drugs,Specialty drugs (United States),-1.0,None,None,-1.0,None,None,1.0
6428,"Besides drugs, what else do specialty pharmacies provide?","['lab monitoring, adherence counseling, and assist patients with cost-containment strategies needed to obtain their expensive specialty drugs', 'lab monitoring, adherence counseling, and assist patients with cost-containment strategies']",Pharmacy,"lab monitoring, adherence counseling","{'lab monitoring, adherence counseling': 'Pharmacy'}",100.0,"lab monitoring, adherence counseling",Pharmacy,0.0,psychotropics,Pharmacist,0.0,biologics,Specialty drugs in the United States,100.0
6429,How are pharmacists regulated in most jurisdictions?,['separately from physicians'],Pharmacy,professional,{'professional': 'Pharmacist'},50.0,professional regulation,Pharmacist,100.0,professional regulation,Pharmacist,100.0,professional,Pharmacist,50.0
6430,Who do most jurisdictions say can give scheduled drugs to the public?,"['only pharmacists', 'only pharmacists may supply scheduled pharmaceuticals to the public']",Pharmacy,,None,-1.0,None,None,100.0,pharmacists,Separation of prescribing and dispensing,100.0,pharmacists,Separation of prescribing and dispensing,101.0
6431,What body has stated that physicians can also dispense drugs under specific conditions?,"['the American Medical Association (AMA)', 'American Medical Association', 'American Medical Association (AMA)']",Pharmacy,,None,0.0,FDA,Prescription drug,-1.0,None,None,-1.0,None,None,1.0
6432,What is the estimate of how many physicians give out drugs on their own?,"['7 to 10 percent', '7 to 10 percent of American physicians']",Pharmacy,,None,-1.0,None,None,-1.0,None,None,-1.0,None,None,0.0
6433,What are pharmacists forbidden to do?,"['form business partnerships with physicians or give them ""kickback"" payments', 'form business partnerships with physicians', 'pharmacists cannot form business partnerships with physicians or give them ""kickback"" payments']",Pharmacy,,None,-1.0,None,None,-1.0,None,None,-1.0,None,None,0.0
6434,What is another country that permits physicians to give out drugs from within their practice?,['Austria'],Pharmacy,,None,-1.0,None,None,-1.0,None,None,-1.0,None,None,0.0
6435,Where are some physicians permitted to prescribe and give out medications within their practices?,"['In some rural areas in the United Kingdom', 'rural areas in the United Kingdom', 'prescribe and dispense prescription-only medicines to their patients from within their practices']",Pharmacy,,None,-1.0,None,None,-1.0,None,None,0.0,off-label,Prescription drug,1.0
6436,What is the minimum distance between a patient's home and the nearest pharmacy that allows a physician to give out medication?,['1.6 kilometres'],Pharmacy,,None,-1.0,None,None,-1.0,None,None,-1.0,None,None,0.0
6437,What is the minimum distance between a patient's home and the nearest pharmacy that allows a physician in Austria to give out medicine?,"['more than 4 kilometers', '4 kilometers']",Pharmacy,,None,-1.0,None,None,-1.0,None,None,-1.0,None,None,0.0
6438,Why is majority rule used?,"['the high risk of a conflict of interest and/or the avoidance of absolute powers', 'high risk of a conflict of interest', 'high risk of a conflict of interest and/or the avoidance of absolute powers']",Pharmacy,alternatives can be considered and amended in a process of deliberation until the final version of a proposal is adopted or rejected by majority rule,{'alternatives can be considered and amended in a process of deliberation until the final version of a proposal is adopted or rejected by majority rule': 'Majority rule'},-1.0,None,None,-1.0,None,None,-1.0,None,None,0.0
6439,Why might a physician diagnose a large number of conditions?,"['because he or she can then sell more medications to the patient', 'sell more medications to the patient']",Pharmacy,,None,-1.0,None,None,-1.0,None,None,-1.0,None,None,0.0
6440,What do rules about conflict of interest involving doctors diagnosing patients resemble?,"['the checks and balances system of the U.S. and many other governments.', 'checks and balances system of the U.S. and many other governments', 'similarity to the checks and balances system of the U.S. and many other governments']",Pharmacy,,None,-1.0,None,None,-1.0,None,None,-1.0,None,None,0.0
6441,How else might a physician take advantage of self-interest?,"['exaggerating their seriousness', 'avoiding the unnecessary use of medication that may have side-effects', 'because he or she can then sell more medications to the patient']",Pharmacy,,None,0.0,self-experimentation,Self-experimentation in medicine,100.0,self-experimentation,Self-experimentation in medicine,-1.0,None,None,101.0
6442,Where might the doctor's self-interest be at odds with the patient's self-interest?,"['in obtaining cost-effective medication and avoiding the unnecessary use of medication that may have side-effects', 'obtaining cost-effective medication', 'the physician has a financial self-interest in ""diagnosing"" as many conditions as possible']",Pharmacy,,None,-1.0,None,None,-1.0,None,None,-1.0,None,None,0.0
6443,What will be the importance of the pharmacist in coming decades?,"['expected to become more integral within the health care system', 'patient care skills', 'pharmacists are expected to become more integral within the health care system']",Pharmacy,,None,-1.0,None,None,-1.0,None,None,-1.0,None,None,0.0
6444,What responsibilities are pharmacists believed to be taking on more in the future?,"['increasingly expected to be compensated for their patient care skills', 'patient care skills', 'pharmacists are increasingly expected to be compensated for their patient care skills']",Pharmacy,,None,20.0,giving advice to the public,Pharmacist,-1.0,None,None,-1.0,None,None,21.0
6445,What is included in Medication Therapy Management?,"['clinical services that pharmacists can provide for their patients', 'the clinical services that pharmacists can provide for their patients']",Pharmacy,,None,-1.0,None,None,0.0,AdM coaching,Adherence management coaching,-1.0,None,None,1.0
6446,What are examples of clinical services that pharmacists can provide?,"['thorough analysis of all medication (prescription, non-prescription, and herbals) currently being taken by an individual', 'thorough analysis of all medication (prescription, non-prescription, and herbals) currently being taken by an individual.', 'the thorough analysis of all medication (prescription, non-prescription, and herbals) currently being taken by an individual']",Pharmacy,surgery and midwifery,{'surgery and midwifery': 'Pharmacy'},0.0,"Pharmacy Technician, Dispensing Technician and/or (Accredited) Checking Technician (ACT)",Pharmacy technician,8.333333333333332,"prescribing drugs, administering drugs, monitoring prescriptions, managing drug use, and counselling patients",Clinical pharmacy,33.33333333333333,physicians and acupuncturists,Pharmacy,33.33333333333333
6447,What are outcomes expected with Medication Therapy Management?,"['a reconciliation of medication and patient education resulting in increased patient health outcomes and decreased costs to the health care system', 'increased patient health outcomes and decreased costs']",Pharmacy,,None,-1.0,None,None,0.0,"normal blood pressure, A1C levels within normal limits, movement towards target weight",Adherence management coaching,-1.0,None,None,1.0
6448,Which provinces in Canada limit the rights of pharmacists in prescribing?,['Alberta and British Columbia'],Pharmacy,,None,-1.0,None,None,-1.0,None,None,75.0,Manitoba and British Columbia,Pharmacare,76.0
6449,Who pays Australian pharmacists for doing Home Medicines Reviews?,"['the Australian Government', 'Australian Government']",Pharmacy,,None,-1.0,None,None,-1.0,None,None,-1.0,None,None,0.0
6450,What are pharmacists in the United Kingdom being increasingly paid for?,['medicine use reviews'],Pharmacy,,None,-1.0,None,None,-1.0,None,None,-1.0,None,None,0.0
6451,What fields have increased in influence on pharmacy in the United States?,['pharmaceutical care or clinical pharmacy'],Pharmacy,pharmaceutical care or clinical pharmacy,{'pharmaceutical care or clinical pharmacy': 'Pharmacy'},100.0,pharmaceutical care or clinical pharmacy,Pharmacy,17.113903967753068,chemistry and pharmacy,History of pharmacy in the United States,100.0,chemistry and pharmacy,History of pharmacy in the United States,82.88609603224694
6452,What degree is now mandatory in the U.S. in order to be a licensed pharmacist?,"['Doctor of Pharmacy (Pharm. D.)', 'Doctor of Pharmacy', 'the Doctor of Pharmacy (Pharm. D.) degree']",Pharmacy,doctor of pharmacy,{'doctor of pharmacy': 'Pharmacy school'},100.0,doctor of pharmacy,Pharmacy school,100.0,doctor of pharmacy,Pharmacy school,100.0,doctor of pharmacy,Pharmacy school,0.0
6453,What are the two symbols that signify pharmacy in English-speaking countries?,"['the mortar and pestle and the ℞ (recipere) character', 'mortar and pestle and the ℞ (recipere) character']",Pharmacy,,None,-1.0,None,None,-1.0,None,None,-1.0,None,None,0.0
6454,What symbol was employed until early in the 20th century?,"['The show globe', 'show globe']",Pharmacy,,None,-1.0,None,None,-1.0,None,None,-1.0,None,None,0.0
6455,What country uses the Bowl of Hygieia as a symbol of pharmacy?,['the Netherlands'],Pharmacy,,None,0.0,Canada,Bowl of Hygieia,0.0,Louisiana,Bowl of Hygieia,0.0,western,Bowl of Hygieia,0.0
6456,What countries use a red stylized A to signify pharmacy?,['Germany and Austria'],Pharmacy,,None,-1.0,None,None,-1.0,None,None,-1.0,None,None,0.0
6457,Which countries use the green Greek cross as a symbol of pharmacy?,"['France, Argentina, the United Kingdom, Belgium, Ireland, Italy, Spain, and India']",Pharmacy,,None,-1.0,None,None,0.0,France,Bowl of Hygieia,-1.0,None,None,1.0
6458,What is the immune system?,"['biological structures and processes within an organism', 'system of many biological structures and processes', 'a system of many biological structures and processes within an organism']",Immune_system,a system of biological structures and processes within an organism that protects against disease,{'a system of biological structures and processes within an organism that protects against disease': 'Immune system'},100.0,a system of many biological structures and processes within an organism that protects against disease,Immune system,0.0,natural specificity as well as its inducibility,Adaptive immune system,0.0,"exemption from military service, tax payments or other public services",Immunity (medical),100.0
6459,What does the immune system protect against?,"['pathogens, from viruses to parasitic worms', 'disease', 'against disease']",Immune_system,disease,{'disease': 'Immune system'},100.0,disease,Immune system,100.0,disease,Immune system,100.0,disease,Immune system,0.0
