,Question,GT Answer,GT Topic,2008 Predicted,2008 Topic,2014 Bleu Score,2014 Predicted,2014 Topic,2016 Bleu Score,2016 Predicted,2016 Topic,2018 Bleu Score,2018 Predicted,2018 Topic,max - min
761,who won mark and goal of the year 2017,['Joe Daniher'],Mark of the Year,"Diego Maradona, Diego Maradona, Maradona, Cristiano Ronaldo, Argentina, Curt Hammer Award, Mark Morrison, Yanick Dupre Memorial Award, the goal with the most votes, Alex Jesaulenko","{'Diego Maradona': 'FIFA Player of the Century', 'Maradona': 'FIFA Player of the Century', 'Cristiano Ronaldo': 'FWA Footballer of the Year', 'Argentina': 'Goal of the Century', 'Curt Hammer Award': 'Curt Hammer Award', 'Mark Morrison': 'Player of the Year Trophy (IHJUK)', 'Yanick Dupre Memorial Award': 'Yanick Dupre Memorial Award', 'the goal with the most votes': 'Goal of the Year (Germany)', 'Alex Jesaulenko': 'Mark of the Year'}",100.0,Mark Morrison,Player of the Year Trophy (IHJUK),100.0,Mark Morrison,Player of the Year Trophy (IHJUK),100.0,Cristiano Ronaldo,FWA Footballer of the Year,0.0
762,how many points did lebron james scored in his career,"['31,038']",List of National Basketball Association career scoring leaders,"10.8, 3714, 1758, 39, 8.1, 4.6, 2,119, 7.6, 16, three","{'10.8': 'Aaron James', '3714': 'Jim McMillian', '1758': 'Jim McMillian', '39': 'Mike James', '8.1': 'Henry James (basketball)', '4.6': 'Jerome James', '2,119': 'BJ McKie', '7.6': 'Damion James', '16': 'Dominic James', 'three': 'Tim James'}",100.0,10.8,Aaron James (basketball),100.0,10.8,Aaron James (basketball),100.0,10.8,Aaron James (basketball),0.0
763,who won the men's single title of australia open on 1 february 2015,"['Djokovic', 'Novak Djokovic']",2015 Australian Open – Men's Singles,"Gordon Lowe, Roy Emerson, Gordon Lowe, John Bromwich, Roy Emerson, Roy Emerson, Adrian Quist, Hewitt or Agassi, Jimmy Connors, Roger Federer.
Davis Cup.
Laver helped Australia win the Davis Cup four consecutive times from 1959-62. In 1973, 
professionals were permitted to play in the Davis Cup for the first time, and Laver","{'Gordon Lowe': '1915 Australasian Championships (tennis)', 'Roy Emerson': ""1966 Australian Championships - Men's Singles"", 'John Bromwich': ""1939 Australian Championships - Men's Singles"", 'Adrian Quist': ""1940 Australian Championships - Men's Singles"", 'Hewitt or Agassi': 'Lleyton Hewitt', 'Jimmy Connors': 'Rod Laver', 'Roger Federer.\nDavis Cup.\nLaver helped Australia win the Davis Cup four consecutive times from 1959-62. In 1973, \nprofessionals were permitted to play in the Davis Cup for the first time, and Laver': 'Rod Laver'}",50.0,Roger Federer,2010 Australian Open – Men's Singles,100.0,Roger Federer,2015 Australian Open – Men's Singles,100.0,Roger Federer,2015 Brisbane International – Men's Singles,50.0
764,when is star vs the forces of evil coming back 2018,"['March 3 , 2018']",List of Star vs. the Forces of Evil episodes,"At long last, the New York Times bestselling series that launched the Star Wars saga into the next generation and into thrilling new territory reaches its spectacular finale, the stage is set for endgame, Return of the Jedi""., his memory is restored, Sharon Apple has developed a malevolent consciousness, and, during her concert quickly takes over both Ghost X-9 and Macross and hypnotizes her audience and Macross staff.
When Myung's life is in danger, too much has been sacrificed —and too much is at stake—to ever turn back, 2006-11-13, the Rangers' magical powers are restored, when the time comes, Starman","{'At long last, the New York Times bestselling series that launched the Star Wars saga into the next generation and into thrilling new territory reaches its spectacular finale': 'The Unifying Force', 'the stage is set for endgame': 'The Unifying Force', 'Return of the Jedi"".': 'Death Star', 'his memory is restored': 'The Lightning Saga', ""Sharon Apple has developed a malevolent consciousness, and, during her concert quickly takes over both Ghost X-9 and Macross and hypnotizes her audience and Macross staff.\nWhen Myung's life is in danger"": 'Macross Plus', 'too much has been sacrificed —and too much is at stake—to ever turn back': 'The Unifying Force', '2006-11-13': 'Mystic Fate', ""the Rangers' magical powers are restored"": 'Mystic Fate', 'when the time comes': 'Mystic Fate', 'Starman': 'The Lightning Saga'}",100.0,the finale,Forever Evil,33.33333333333333,when he's done,All-Star Superman (film),40.0,today is her fourteenth birthday,Star Comes to Earth,66.66666666666667
765,who is the new york state senate majority leader,['John J. Flanagan'],Majority Leader of the New York State Senate,"Joseph Bruno, Joseph Bruno, Joseph Bruno, Ronald Canestrari, James Tedisco, Michael Bragman, Mary Lou Rath, Senator Joseph Bruno, Thomas DiNapoli, Joe Bruno","{'Joseph Bruno': 'New York State Senate', 'Ronald Canestrari': 'New York State Assembly', 'James Tedisco': 'Eliot Spitzer', 'Michael Bragman': 'Sheldon Silver', 'Mary Lou Rath': 'Lieutenant Governor of New York', 'Senator Joseph Bruno': 'Majority Leader of the New York State Senate', 'Thomas DiNapoli': 'Sheldon Silver', 'Joe Bruno': 'Eliot Spitzer'}",66.66666666666666,Joseph L. Bruno,Andrew Cuomo,100.0,Joseph Bruno,Eliot Spitzer,100.0,Joseph Bruno,Andrew Cuomo,33.33333333333334
766,who did virginia cavaliers lose to in basketball this year,"['West Virginia', 'UMBC']",2017–18 Virginia Cavaliers men's basketball team,"Boston Celtics, Chicago Bulls, Georgia Tech, Detroit, Niagara, St. Peter's, Alcorn State, Syracuse, South Carolina Gamecocks, 8","{'Boston Celtics': 'Cleveland Cavaliers', 'Chicago Bulls': 'Cleveland Cavaliers', 'Georgia Tech': ""2005 ACC Men's Basketball Tournament"", 'Detroit': 'Cleveland Cavaliers', 'Niagara': ""Siena Saints men's basketball"", ""St. Peter's"": ""Siena Saints men's basketball"", 'Alcorn State': ""Siena Saints men's basketball"", 'Syracuse': ""Richmond Spiders men's basketball"", 'South Carolina Gamecocks': ""Clemson Tigers men's basketball"", '8': 'List of current NBA team rosters'}",100.0,Georgia Tech,2005 ACC Men's Basketball Tournament,100.0,Syracuse,2015–16 Virginia Cavaliers men's basketball team,100.0,Syracuse,2015–16 Virginia Cavaliers men's basketball team,0.0
767,where is cinque terre italy on a map,"['Liguria , Italy']",Cinque Terre,"Portofino, Bordighera, Lerici, Giannutri, Manarola and Volastra, Marseille to Rome, Campione d'Italia is an Italian town and commune of Lombardy, occupying an enclave within the Swiss canton of Ticino, The Cinque Terre is a UNESCO World Heritage Site, Naples, mountainsides, Zannone, Versilia","{'Portofino, Bordighera, Lerici': 'Italian Riviera', 'Giannutri': 'Giannutri', 'Manarola and Volastra': 'Cinque Terre', 'Marseille to Rome': 'Monte Cinto', ""Campione d'Italia is an Italian town and commune of Lombardy, occupying an enclave within the Swiss canton of Ticino"": ""Campione d'Italia"", 'The Cinque Terre is a UNESCO World Heritage Site': 'Cinque Terre', 'Naples': 'Circumvesuviana', 'mountainsides': 'Cinque Terre', 'Zannone': 'Zannone', 'Versilia': 'Versilia'}",100.0,Marseille to Rome,Monte Cinto,100.0,Marseille to Rome,Monte Cinto,100.0,Marseille to Rome,Monte Cinto,0.0
768,what was the full name of the titanic,['RMS Titanic'],RMS Titanic,"Royal Mail Steamer, Cyclops, RMS Titanic Inc., Britannic, Shenandoah, HMS ""Andromeda, Britannic, Cyclops, HMS ""Nautilus, Titanic","{'Royal Mail Steamer': 'RMS Titanic', 'Cyclops': 'HMS Cyclops', 'RMS Titanic Inc.': 'RMS Titanic', 'Britannic': 'HMHS Britannic', 'Shenandoah': 'USS Shenandoah', 'HMS ""Andromeda': 'HMS Andromeda', 'HMS ""Nautilus': 'HMS Nautilus', 'Titanic': 'RMS Titanic'}",100.0,Cyclops,USS Cyclops,100.0,Cyclops,USS Cyclops,100.0,Cyclops,USS Cyclops,0.0
769,who has played in the most premier league derbies,['Neville Southall'],Merseyside derby,"Alan Shearer, Manchester United (nine times), Arsenal (three times), Chelsea (twice) and Blackburn Rovers (once)., Manchester United, Arsenal, Chelsea and Blackburn Rovers, José Mourinho, Cristiano Ronaldo, Manchester United, Moritz Volz, Arsenal, Manchester United, top few clubs","{'Alan Shearer': 'Premier League', 'Manchester United (nine times), Arsenal (three times), Chelsea (twice) and Blackburn Rovers (once).': 'List of Premier League seasons', 'Manchester United, Arsenal, Chelsea and Blackburn Rovers': 'List of football players with a Premiership medal', 'José Mourinho': 'London derbies', 'Cristiano Ronaldo': 'FA Premier League 2006-07', 'Manchester United': 'Premier League 2007-08', 'Moritz Volz': 'FA Premier League 2006-07', 'Arsenal': 'Premier League', 'top few clubs': 'Premier League'}",100.0,Manchester United,Premier League,100.0,Manchester United,Premier League,57.14285714285714,"Alan Shearer, Cristiano Ronaldo and Luis Suárez",List of Premier League seasons,42.85714285714286
770,who wrote the song always be humble and kind,['Lori McKenna'],Humble and Kind,"Willie Nelson, Fatman Scoop, Andy Razaf, Razaf-Waller, Olive Dungan, Denver, Willie Nelson, Michael, Ray E. Heady, Baylus Benjamin McKinney","{'Willie Nelson': 'Kris Kristofferson', 'Fatman Scoop': 'Be Faithful', 'Andy Razaf': 'Andy Razaf', 'Razaf-Waller': 'Andy Razaf', 'Olive Dungan': 'Olive Dungan', 'Denver': 'John Denver', 'Michael': 'Michael Peter Smith', 'Ray E. Heady': 'Ray E. Heady', 'Baylus Benjamin McKinney': 'Baylus Benjamin McKinney'}",100.0,Ray E. Heady,Ray E. Heady,100.0,Ray E. Heady,Ray E. Heady,100.0,Ray E. Heady,Ray E. Heady,0.0
771,when did cybermen first appear in doctor who,"['in 1966', 'The Tenth Planet ( 1966 )', '1966']",Cyberman,"1986, January 5 to January 12, 1985, 1966, 1967, April 19 to May 10, 1975, 1980s, #824-#827, centuries ago, Peri and Russell, 1967","{'1986': 'The Tenth Planet', 'January 5 to January 12, 1985': 'Attack of the Cybermen', '1966': 'Cyberman', '1967': 'Ice Warrior', 'April 19 to May 10, 1975': 'Revenge of the Cybermen', '1980s': 'Cyberman', '#824-#827': 'Cyberman', 'centuries ago': 'Revenge of the Cybermen', 'Peri and Russell': 'Attack of the Cybermen'}",100.0,1986,Attack of the Cybermen,100.0,1966,Cyberman,100.0,1966,Cyberman,0.0
772,who wrote i'm in the mood for dancing,"['Ben Findon', 'Ben Findon , Mike Myers and Bob Puzey']",I'm In the Mood for Dancing,"Howard Dietz, Richard Rodgers, Brian Wilson, Carl Wilson and Mike Love, Robert and Richard Sherman, Dorothy Fields, Sly &amp, Ira Gershwin, Clive Davis, Lorenz Hart, La Musique"", with the group's vocals sped-up in a style similar to that of The Chipmunks","{'Howard Dietz': 'Dancing in the Dark (Schwartz-Dietz song)', 'Richard Rodgers': 'Ten Cents a Dance', 'Brian Wilson, Carl Wilson and Mike Love': 'Dance, Dance, Dance (song)', 'Robert and Richard Sherman': 'Are We Dancing', 'Dorothy Fields': ""I'm in the Mood for Love"", 'Sly &amp': 'Dance to the Music (song)', 'Ira Gershwin': ""(I've Got) Beginner's Luck"", 'Clive Davis': 'Dance to the Music (song)', 'Lorenz Hart': 'Dancing on the Ceiling (song)', 'La Musique"", with the group\'s vocals sped-up in a style similar to that of The Chipmunks': 'Dance to the Music (song)'}",100.0,Dorothy Fields,I'm in the Mood for Love,100.0,Howard Dietz,Dancing in the Dark (Howard Dietz and Arthur Schwartz song),100.0,Brian and Carl Wilson,"Dance, Dance, Dance (song)",0.0
773,most passing yards in nfl history in a game,"['Norm Van Brocklin', '554']",List of 400-yard passing games in the National Football League,"99, quarterbacks by total career passing yards., 158.3, 1962, one hundred career touchdowns, quarterbacks by total career regular season pass completions, 157 875 5.6 9
 1961 Billy Cannon Houston Oilers 200 948 4.7 6
 1962 Cookie Gilchrist Buffalo Bills 214 1,096 5.1 13
 1963 Clem Daniels Oakland Raiders 215 1,099 5.1 3
 1964 Cookie Gilchrist Buffalo Bills 230 981 4.3 6
 1965 Paul Lowe San Diego Chargers 222 1,121 5.0 7
 1966 Jim Nance Boston Patriots 299 1,458 4.9 11
 1967 Jim Nance Boston Patriots 269 1,216 4.5 7, National Football League quarterbacks by total career regular season passing touchdowns, 1,000, .","{'99': 'Longest pass caught in the NFL', 'quarterbacks by total career passing yards.': 'List of National Football League passing yardage leaders', '158.3': 'List of NFL quarterbacks who have posted a perfect passer rating', '1962': 'AFL rushing leaders', 'one hundred career touchdowns': 'List of National Football League quarterbacks who have thrown at least 100 career touchdowns', 'quarterbacks by total career regular season pass completions': 'List of National Football League passing completions leaders', '157 875 5.6 9\n 1961 Billy Cannon Houston Oilers 200 948 4.7 6\n 1962 Cookie Gilchrist Buffalo Bills 214 1,096 5.1 13\n 1963 Clem Daniels Oakland Raiders 215 1,099 5.1 3\n 1964 Cookie Gilchrist Buffalo Bills 230 981 4.3 6\n 1965 Paul Lowe San Diego Chargers 222 1,121 5.0 7\n 1966 Jim Nance Boston Patriots 299 1,458 4.9 11\n 1967 Jim Nance Boston Patriots 269 1,216 4.5 7': 'AFL rushing leaders', 'National Football League quarterbacks by total career regular season passing touchdowns': 'List of National Football League passing touchdowns leaders', '1,000': 'Beattie Feathers', '.': 'List of National Football League rushing yards leaders'}",6.451612903225806,"5,477 passing yards in 2013. Drew Brees is the only NFL quarterback to reach 5,000 yards more than once and in consecutive seasons.
NFL players with 4,000 passing yards in a season","List of pro quarterbacks with 5,000 passing yards in a season",100.0,"5,477",List of National Football League season passing yards leaders,100.0,"5,477",List of National Football League annual passing yards leaders,93.54838709677419
774,who has the world's largest standing army,"['China', 'South Korea']",List of countries by number of military and paramilitary personnel,"People's Liberation Army, the People's Liberation Army, Aircraft, Quasi Army Arms, The Indian Army, Great Army, Bhutan, Imperial Army is literally an army of any empire, countries by size of armed forces displays national troop levels by active troop strength, number of Naval combatants and aircraft. The list’s ranking however is based in the number of troops, not in the numbers of tanks, aircraft, ships or power of the armed forces, First United States Army","{""People's Liberation Army"": 'Army', ""the People's Liberation Army"": 'Army', 'Aircraft': 'Indian Army', 'Quasi Army Arms': 'Indian Army', 'The Indian Army': 'Indian Army', 'Great Army': 'Great Army', 'Bhutan': 'List of countries by number of active troops', 'Imperial Army is literally an army of any empire': 'Imperial Army', 'countries by size of armed forces displays national troop levels by active troop strength, number of Naval combatants and aircraft. The list’s ranking however is based in the number of troops, not in the numbers of tanks, aircraft, ships or power of the armed forces': 'List of countries by size of armed forces', 'First United States Army': 'Army'}",100.0,Indian Army,Indian Armed Forces,100.0,The Indian Army,Volunteer military,100.0,The Indian Army,Volunteer military,0.0
775,which is the world's largest company in terms of revenue,['Walmart'],List of largest companies by revenue,"ExxonMobil, Infosys, Wal-Mart Stores, Inc., The Koos Group, Global Consumer Group, The Fortune Global 500, Citigroup, Citibank, Tata Chemicals Ltd, Corus Group","{'ExxonMobil': ""World's Biggest Public Companies"", 'Infosys': ""World's largest software companies"", 'Wal-Mart Stores, Inc.': 'List of assets owned by Wal-Mart Stores, Inc.', 'The Koos Group': 'Koos Group', 'Global Consumer Group': 'Citigroup', 'The Fortune Global 500': 'Fortune Global 500', 'Citigroup': 'Citigroup', 'Citibank': 'Citigroup', 'Tata Chemicals Ltd': 'Tata Group', 'Corus Group': 'Tata Group'}",100.0,Fortune Global 500,List of largest manufacturing companies by revenue,100.0,Fortune Global 500,List of largest manufacturing companies by revenue,100.0,Fortune Global 500,List of largest companies by revenue,0.0
776,in what state was the united states center of population gravity located during the period 1790,"['Maryland', 'Kent County , Maryland']",Mean center of the United States population,"New York, Missouri, West Virginia, Philadelphia, Maryland, Virginia, West Virginia, Northeastern, New South Wales, 1940","{'New York': 'Largest cities in the United States by population by decade', 'Missouri': 'Center of population', 'West Virginia': 'United States Census, 1840', 'Philadelphia': 'United States Census, 1790', 'Maryland': 'Center of population', 'Virginia': 'United States Census, 1830', 'Northeastern': 'Largest cities in the United States by population by decade', 'New South Wales': 'Center of population', '1940': 'Largest cities in the United States by population by decade'}",100.0,New York,Largest cities in the United States by population by decade,100.0,West Virginia,1830 United States Census,100.0,Virginia,1840 United States Census,0.0
